ymd,category,addr,notes,count
2016/01/01,車上ねらい,流山9丁目,,1
2016/01/01,部品ねらい,大字東深井,,1
2016/01/01,空き巣,平和台4丁目,,1
2016/01/01,非侵入窃盗,平和台3丁目,,1
2016/01/02,空き巣,加2丁目,,1
2016/01/03,車上ねらい,向小金2丁目,,1
2016/01/03,その他侵入盗,大字西平井,,1
2016/01/03,器物損壊,南流山3丁目,,1
2016/01/04,自転車盗,市野谷,,1
2016/01/04,自転車盗,加3丁目,,1
2016/01/04,自転車盗,大字東深井,,1
2016/01/04,器物損壊,南流山3丁目,,1
2016/01/04,その他犯罪,平和台4丁目,,1
2016/01/05,器物損壊,南流山3丁目,,1
2016/01/06,空き巣,駒木,集合住宅,1
2016/01/06,その他犯罪,南流山1丁目,,1
2016/01/07,オートバイ盗,野々下5丁目,,1
2016/01/07,オートバイ盗,流山2丁目,,1
2016/01/07,部品ねらい,向小金3丁目,,1
2016/01/07,自転車盗,東初石4丁目,,1
2016/01/07,自転車盗,江戸川台東2丁目,,1
2016/01/07,非侵入窃盗,南流山5丁目,,1
2016/01/08,オートバイ盗,駒木,,1
2016/01/08,忍び込み,美原1丁目,戸建て,1
2016/01/08,その他侵入盗,南流山7丁目,戸建て,1
2016/01/08,その他犯罪,流山1丁目,,1
2016/01/09,その他犯罪,流山2丁目,,1
2016/01/09,その他犯罪,宮園1丁目,,1
2016/01/09,その他犯罪,青田,未遂,1
2016/01/10,車上ねらい,西初石1丁目,,1
2016/01/10,部品ねらい,大字木,,1
2016/01/10,自転車盗,加3丁目,,1
2016/01/11,オートバイ盗,東初石6丁目,,1
2016/01/11,自転車盗,前平井,,1
2016/01/11,自転車盗,西初石6丁目,,1
2016/01/13,車上ねらい,東初石3丁目,,1
2016/01/13,非侵入窃盗,向小金1丁目,,1
2016/01/13,非侵入窃盗,大字木,,1
2016/01/13,非侵入窃盗,南流山3丁目,,1
2016/01/13,万引き,西初石6丁目,,1
2016/01/14,空き巣,駒木,集合住宅,1
2016/01/15,自動車盗,大字東深井,,1
2016/01/15,オートバイ盗,平和台4丁目,,1
2016/01/15,空き巣,鰭ヶ崎,集合住宅,1
2016/01/15,空き巣,十太夫,集合住宅,1
2016/01/15,振り込め詐欺,西初石4丁目,,1
2016/01/15,その他犯罪,十太夫,,1
2016/01/16,車上ねらい,平和台4丁目,,1
2016/01/16,空き巣,十太夫,集合住宅,1
2016/01/16,万引き,野々下6丁目,,1
2016/01/17,空き巣,大字西深井,集合住宅(未遂),1
2016/01/17,器物損壊,青田,,1
2016/01/17,その他犯罪,南流山3丁目,,1
2016/01/18,車上ねらい,平和台4丁目,未遂,1
2016/01/18,自転車盗,西初石3丁目,,1
2016/01/18,非侵入窃盗,向小金1丁目,,1
2016/01/18,非侵入窃盗,南流山5丁目,,1
2016/01/18,非侵入窃盗,大字西深井,,1
2016/01/18,万引き,西初石6丁目,,1
2016/01/19,車上ねらい,平和台5丁目,,1
2016/01/19,自転車盗,大字東深井,,1
2016/01/19,置き引き,南流山6丁目,,1
2016/01/19,置き引き,西初石6丁目,,1
2016/01/19,万引き,西初石3丁目,,1
2016/01/19,その他非侵入窃盗,駒木,,1
2016/01/20,万引き,西初石6丁目,,1
2016/01/20,万引き,松ヶ丘3丁目,,1
2016/01/21,自動車盗,南流山7丁目,,1
2016/01/21,空き巣,南流山6丁目,集合住宅,1
2016/01/21,自転車盗,駒木,,1
2016/01/21,自転車盗,美田,2件,1
2016/01/21,非侵入窃盗,大字西深井,,1
2016/01/22,自動車盗,加3丁目,,1
2016/01/22,空き巣,鰭ヶ崎,戸建て,1
2016/01/22,空き巣,流山6丁目,戸建て(未遂),1
2016/01/22,空き巣,平和台2丁目,戸建て,1
2016/01/23,器物損壊,西初石4丁目,,1
2016/01/23,その他犯罪,十太夫,,1
2016/01/24,空き巣,鰭ヶ崎,戸建て(未遂),1
2016/01/24,自転車盗,西初石6丁目,,1
2016/01/24,自転車盗,大字東深井,,1
2016/01/25,器物損壊,南流山1丁目,,1
2016/01/26,自動車盗,大字西平井,,1
2016/01/26,車上ねらい,大字中野久木,,1
2016/01/26,車上ねらい,青田,,1
2016/01/26,万引き,流山9丁目,,1
2016/01/27,器物損壊,東初石3丁目,,1
2016/01/28,自動車盗,南流山2丁目,未遂,1
2016/01/28,空き巣,平和台5丁目,集合住宅,1
2016/01/28,その他犯罪,前ヶ崎,,1
2016/01/28,その他犯罪,大字流山,,1
2016/01/29,空き巣,江戸川台西1丁目,戸建て(未遂),1
2016/01/30,自転車盗,西初石6丁目,,1
2016/01/31,自転車盗,西初石3丁目,,1
2016/01/31,器物損壊,江戸川台東2丁目,3件,1
2016/01/31,万引き,大字西平井,,1
2016/01/31,万引き,十太夫,2件,1
2016/02/01,忍び込み,大字中野久木,集合住宅,1
2016/02/01,自転車盗,南流山6丁目,,1
2016/02/01,自転車盗,西初石6丁目,,1
2016/02/01,非侵入窃盗,大字西平井,未遂,1
2016/02/02,万引き,向小金2丁目,,1
2016/02/02,万引き,西初石2丁目,,1
2016/02/02,その他犯罪,南流山2丁目,,1
2016/02/03,車上ねらい,平和台4丁目,,1
2016/02/03,車上ねらい,芝崎,,1
2016/02/03,車上ねらい,芝崎,未遂,1
2016/02/03,その他侵入盗,鰭ヶ崎,未遂,1
2016/02/03,非侵入窃盗,平和台5丁目,,1
2016/02/04,車上ねらい,大字西平井,,1
2016/02/05,自転車盗,加1丁目,,1
2016/02/05,自転車盗,市野谷,,1
2016/02/05,非侵入窃盗,大字木,,1
2016/02/05,万引き,流山9丁目,,1
2016/02/06,車上ねらい,南流山3丁目,,1
2016/02/06,器物損壊,大字三輪野山1丁目,,1
2016/02/07,車上ねらい,野々下4丁目,,1
2016/02/08,自転車盗,大字東深井,,1
2016/02/09,オートバイ盗,江戸川台西1丁目,,1
2016/02/09,空き巣,西初石3丁目,集合住宅,1
2016/02/09,侵入盗その他,大字東深井,集合住宅,1
2016/02/10,自転車盗,野々下1丁目,,1
2016/02/10,自転車盗,大字東深井,,1
2016/02/10,器物損壊,江戸川台東2丁目,,1
2016/02/10,万引き,西初石6丁目,,1
2016/02/11,自転車盗,大字東深井,,1
2016/02/11,自転車盗,市野谷,,1
2016/02/11,自転車盗,加1丁目,,1
2016/02/11,万引き,流山6丁目,,1
2016/02/12,自転車盗,南流山4丁目,,1
2016/02/12,器物損壊,西初石3丁目,,1
2016/02/12,その他犯罪,流山9丁目,,1
2016/02/13,自転車盗,向小金2丁目,,1
2016/02/14,オートバイ盗,南流山6丁目,,1
2016/02/14,オートバイ盗,南流山6丁目,未遂,1
2016/02/14,その他犯罪,西初石4丁目,,1
2016/02/15,空き巣,南流山7丁目,戸建2件,1
2016/02/15,非侵入窃盗,江戸川台東3丁目,,1
2016/02/16,空き巣,南流山7丁目,,1
2016/02/16,その他侵入盗,大字木,2件,1
2016/02/16,自転車盗,西初石3丁目,,1
2016/02/16,非侵入窃盗,大字木,,1
2016/02/16,万引き,大字西平井,,1
2016/02/17,オートバイ盗,南流山6丁目,,1
2016/02/17,車上ねらい,大字西平井,,1
2016/02/17,空き巣,十太夫,集合住宅,1
2016/02/17,暴行,江戸川台西1丁目,,1
2016/02/18,自転車盗,流山9丁目,,1
2016/02/18,傷害,平和台4丁目,,1
2016/02/19,自転車盗,西初石2丁目,,1
2016/02/20,自転車盗,流山9丁目,,1
2016/02/20,非侵入窃盗,大字東深井,,1
2016/02/20,非侵入窃盗,西初石6丁目,,1
2016/02/21,その他侵入盗,美田,,1
2016/02/22,自転車盗,流山8丁目,,1
2016/02/23,強盗,西初石4丁目,,1
2016/02/23,万引き,西初石6丁目,,1
2016/02/24,非侵入盗,向小金2丁目,,1
2016/02/24,横領,鰭ヶ崎,,1
2016/02/25,オートバイ盗,大字三輪野山1丁目,,1
2016/02/25,自転車盗,前ヶ崎,,1
2016/02/25,器物損壊,市野谷,,1
2016/02/25,住居侵入,流山8丁目,,1
2016/02/25,非侵入窃盗,青田,,1
2016/02/26,その他侵入盗,美原3丁目,,1
2016/02/26,万引き,美原2丁目,,1
2016/02/26,建造物侵入,向小金1丁目,,1
2016/02/27,器物損壊,松ヶ丘5丁目,,1
2016/02/27,器物損壊,松ヶ丘6丁目,,1
2016/02/28,自転車盗,南流山6丁目,,1
2016/02/28,万引き,西初石6丁目,,1
2016/02/29,自転車盗,南流山1丁目,,1
2016/02/29,自転車盗,野々下1丁目,2件,1
2016/03/01,自転車盗,大字西平井,,1
2016/03/01,建造物侵入,大字平方,,1
2016/03/01,非侵入窃盗,南流山2丁目,,1
2016/03/02,ひったくり,大字西平井,,1
2016/03/02,自転車盗,大字東深井,,1
2016/03/02,傷害,鰭ヶ崎,,1
2016/03/02,詐欺,思井,,1
2016/03/03,車上ねらい,十太夫,,1
2016/03/03,空き巣,平和台5丁目,集合住宅,1
2016/03/03,傷害,江戸川台東2丁目,,1
2016/03/03,自転車盗,十太夫,,1
2016/03/04,空き巣,西初石6丁目,集合住宅,1
2016/03/04,空き巣,大字平方,戸建,1
2016/03/04,自転車盗,大字西平井,,1
2016/03/05,自転車盗,市野谷,1件,1
2016/03/05,器物損壊,向小金2丁目,2件,1
2016/03/05,傷害,南流山2丁目,,1
2016/03/06,忍び込み,駒木,戸建,1
2016/03/06,非侵入窃盗,大字東深井,,1
2016/03/06,暴行,美原2丁目,,1
2016/03/07,自転車盗,駒木,,1
2016/03/07,自転車盗,南流山4丁目,,1
2016/03/08,空き巣,大字西平井,戸建,1
2016/03/08,空き巣,西初石6丁目,集合住宅,1
2016/03/08,器物損壊,江戸川台西2丁目,,1
2016/03/09,空き巣,西初石6丁目,集合住宅3件,1
2016/03/09,非侵入窃盗,大字南,,1
2016/03/09,万引き,西初石6丁目,,1
2016/03/10,オートバイ盗,大字東深井,,1
2016/03/10,空き巣,後平井,集合住宅,1
2016/03/10,器物損壊,江戸川台東2丁目,,1
2016/03/10,万引き,西初石6丁目,,1
2016/03/10,非侵入窃盗,大字西深井,,1
2016/03/10,非侵入窃盗,前平井,,1
2016/03/11,オートバイ盗,大字西平井,,1
2016/03/11,自転車盗,大字東深井,,1
2016/03/11,傷害,向小金2丁目,,1
2016/03/12,強盗,大字上新宿,,1
2016/03/12,自転車盗,江戸川台西3丁目,,1
2016/03/12,万引き,野々下3丁目,,1
2016/03/12,万引き,大字木,,1
2016/03/12,万引き,流山9丁目,,1
2016/03/13,部品ねらい,西初石2丁目,,1
2016/03/13,事務所荒し,市野谷,,1
2016/03/13,自転車盗,東初石4丁目,,1
2016/03/13,自転車盗,大字木,,1
2016/03/14,車上ねらい,南流山4丁目,,1
2016/03/14,自転車盗,南流山2丁目,,1
2016/03/14,器物損壊,前平井,,1
2016/03/15,空き巣,西初石4丁目,集合住宅,1
2016/03/15,自転車盗,大字東深井,,1
2016/03/15,非侵入窃盗,西初石6丁目,,1
2016/03/15,非侵入窃盗,市野谷,,1
2016/03/15,万引き,西初石6丁目,,1
2016/03/15,傷害,古間木,,1
2016/03/16,自転車盗,前平井,,1
2016/03/17,オートバイ盗,江戸川台西3丁目,,1
2016/03/17,器物損壊,美原4丁目,,1
2016/03/17,暴行,西初石6丁目,,1
2016/03/17,非侵入窃盗,大字東深井,,1
2016/03/18,自動車盗,前平井,,1
2016/03/18,自転車盗,南流山3丁目,,1
2016/03/20,傷害,南流山2丁目,,1
2016/03/20,非侵入窃盗,江戸川台西3丁目,,1
2016/03/21,自転車盗,大字木,,1
2016/03/21,自転車盗,南流山6丁目,,1
2016/03/21,器物損壊,加2丁目,,1
2016/03/22,自転車盗,南流山1丁目,,1
2016/03/22,器物損壊,前平井,,1
2016/03/22,器物損壊,松ヶ丘6丁目,,1
2016/03/22,万引き,大字東深井,,1
2016/03/23,空き巣,鰭ヶ崎,集合住宅,1
2016/03/23,自転車盗,東初石6丁目,,1
2016/03/24,車上ねらい,大字流山,,1
2016/03/24,車上ねらい,大字東深井,,1
2016/03/24,車上ねらい,加3丁目,,1
2016/03/25,車上ねらい,平和台4丁目,,1
2016/03/25,車上ねらい,南流山1丁目,未遂,1
2016/03/25,空き巣,江戸川台西2丁目,集合住宅,1
2016/03/25,忍び込み,駒木台,戸建,1
2016/03/25,器物損壊,江戸川台西3丁目,,1
2016/03/26,オートバイ盗,松ヶ丘5丁目,,1
2016/03/26,車上ねらい,大字下花輪,,1
2016/03/26,部品ねらい,長崎1丁目,,1
2016/03/26,暴行,流山7丁目,,1
2016/03/26,非侵入窃盗,大字木,,1
2016/03/27,車上ねらい,野々下3丁目,,1
2016/03/27,空き巣,大字東深井,集合住宅,1
2016/03/27,自転車盗,向小金3丁目,,1
2016/03/28,自動車盗,野々下1丁目,,1
2016/03/28,自動車盗,大字三輪野山4丁目,,1
2016/03/28,部品ねらい,流山9丁目,,1
2016/03/28,空き巣,長崎1丁目,集合住宅,1
2016/03/28,自転車盗,美原4丁目,,1
2016/03/28,非侵入窃盗,大字三輪野山4丁目,,1
2016/03/29,車上ねらい,南流山4丁目,,1
2016/03/29,自転車盗,江戸川台西2丁目,,1
2016/03/29,万引き,西初石6丁目,,1
2016/03/30,車上ねらい,南流山4丁目,,1
2016/03/30,暴行,大字東深井,2件,1
2016/03/30,非侵入窃盗,大字東深井,,1
2016/03/30,非侵入窃盗,東初石6丁目,,1
2016/03/31,オートバイ盗,南流山8丁目,,1
2016/03/31,オートバイ盗,江戸川台西3丁目,,1
2016/03/31,部品ねらい,名都借,,1
2016/03/31,自転車盗,加3丁目,,1
2016/03/31,振り込め詐欺,江戸川台東2丁目,,1
2016/04/01,その他侵入盗,松ヶ丘5丁目,,1
2016/04/01,暴行,平和台5丁目,,1
2016/04/02,自動車盗,野々下2丁目,,1
2016/04/02,自転車盗,西初石6丁目,,1
2016/04/02,器物損壊,大字東深井,,1
2016/04/02,万引き,流山9丁目,,1
2016/04/03,車上ねらい,野々下5丁目,,1
2016/04/03,車上ねらい,南流山3丁目,,1
2016/04/03,空き巣,大字西深井,集合住宅,1
2016/04/03,自転車盗,青田,,1
2016/04/04,自転車盗,鰭ヶ崎,,1
2016/04/05,自動車盗,松ヶ丘5丁目,,1
2016/04/05,自転車盗,南流山4丁目,,1
2016/04/05,自転車盗,加1丁目,,1
2016/04/05,自転車盗,江戸川台西2丁目,,1
2016/04/05,電話de詐欺,野々下3丁目,還付金,1
2016/04/06,車上ねらい,西初石6丁目,,1
2016/04/06,自転車盗,大字東深井,,1
2016/04/07,忍び込み,西初石1丁目,戸建,1
2016/04/07,忍び込み,江戸川台西3丁目,戸建,1
2016/04/07,自転車盗,松ヶ丘3丁目,,1
2016/04/08,空き巣,向小金2丁目,集合住宅,1
2016/04/08,空き巣,宮園3丁目,戸建,1
2016/04/08,自転車盗,江戸川台東1丁目,,1
2016/04/09,空き巣,向小金1丁目,集合住宅,1
2016/04/09,空き巣,向小金1丁目,集合住宅・未遂,1
2016/04/09,器物損壊,古間木,,1
2016/04/09,器物損壊,加5丁目,,1
2016/04/09,暴行,江戸川台東2丁目,,1
2016/04/09,恐喝,美田,,1
2016/04/10,自転車盗,向小金3丁目,,1
2016/04/11,車上ねらい,加5丁目,,1
2016/04/11,自転車盗,大字東深井,,1
2016/04/11,万引き,大字東深井,,1
2016/04/11,非侵入窃盗,市野谷,,1
2016/04/12,器物損壊,美原4丁目,,1
2016/04/12,器物損壊,流山2丁目,,1
2016/04/12,非侵入窃盗,江戸川台東3丁目,,1
2016/04/13,空き巣,南流山7丁目,集合住宅・2件,1
2016/04/13,空き巣,大字西深井,戸建,1
2016/04/14,オートバイ盗,大字東深井,,1
2016/04/14,車上ねらい,大字東深井,,1
2016/04/14,自転車盗,大字流山,,1
2016/04/14,自転車盗,江戸川台東2丁目,,1
2016/04/14,非侵入窃盗,大字木,,1
2016/04/14,非侵入窃盗,江戸川台東3丁目,,1
2016/04/14,万引き,西初石6丁目,,1
2016/04/15,空き巣,南流山7丁目,集合住宅,1
2016/04/15,空き巣,宮園2丁目,集合住宅,1
2016/04/15,自転車盗,流山9丁目,,1
2016/04/15,詐欺,前ヶ崎,,1
2016/04/15,非侵入窃盗,駒木,,1
2016/04/15,非侵入窃盗,大字東深井,,1
2016/04/16,自転車盗,大字東深井,2件,1
2016/04/16,器物損壊,古間木,,1
2016/04/16,非侵入窃盗,江戸川台西4丁目,,1
2016/04/17,工事場ねらい,東初石5丁目,,1
2016/04/18,車上ねらい,駒木台,,1
2016/04/18,非侵入窃盗,西初石6丁目,未遂,1
2016/04/19,忍び込み,松ヶ丘1丁目,集合住宅,1
2016/04/19,自転車盗,加4丁目,,1
2016/04/20,忍び込み,南流山4丁目,戸建,1
2016/04/20,暴行,南流山4丁目,,1
2016/04/21,車上ねらい,大字中野久木,,1
2016/04/21,空き巣,東初石5丁目,戸建,1
2016/04/21,自転車盗,東初石2丁目,,1
2016/04/21,器物損壊,南流山8丁目,,1
2016/04/21,器物損壊,野々下2丁目,,1
2016/04/22,オートバイ盗,大字三輪野山1丁目,,1
2016/04/22,自転車盗,十太夫,,1
2016/04/22,自転車盗,大字東深井,,1
2016/04/22,自転車盗,松ヶ丘6丁目,,1
2016/04/22,自転車盗,南流山6丁目,,1
2016/04/22,自転車盗,江戸川台西4丁目,,1
2016/04/22,傷害,南流山2丁目,,1
2016/04/22,詐欺,十太夫,,1
2016/04/22,非侵入窃盗,西初石6丁目,,1
2016/04/22,非侵入窃盗,大字木,,1
2016/04/22,非侵入窃盗,野々下3丁目,,1
2016/04/22,非侵入窃盗,大字流山,,1
2016/04/24,オートバイ盗,富士見台2丁目,,1
2016/04/24,車上ねらい,流山2丁目,,1
2016/04/24,自転車盗,前平井,,1
2016/04/24,器物損壊,富士見台2丁目,,1
2016/04/24,器物損壊,南流山7丁目,,1
2016/04/24,非侵入窃盗,南流山6丁目,,1
2016/04/25,オートバイ盗,加6丁目,,1
2016/04/25,自転車盗,鰭ヶ崎,,1
2016/04/25,器物損壊,富士見台2丁目,,1
2016/04/25,器物損壊,古間木,,1
2016/04/25,振り込め詐欺,江戸川台東2丁目,,1
2016/04/25,万引き,西初石6丁目,,1
2016/04/26,忍び込み,東初石5丁目,戸建,1
