ymd,category,addr,notes,count
2016/08/06,部品ねらい,南流山8丁目,,1
2016/08/07,無賃乗車,江戸川台東2丁目,,1
2016/08/07,空き巣,十太夫,集合住宅,1
2016/08/07,出店荒し,流山4丁目,,1
2016/08/07,非侵入盗その他,大字西平井,,1
2016/08/07,自動車盗,大字東深井,,1
2016/08/07,侵入盗その他,大字東深井,戸建,1
2016/08/08,万引き,市野谷,,1
2016/08/08,侵入盗その他,江戸川台東4丁目,戸建,1
2016/08/08,オートバイ盗,西初石6丁目,,1
2016/08/09,横領,名都借,,1
2016/08/09,万引き,大字東深井,,1
2016/08/09,オートバイ盗,平和台1丁目,,1
2016/08/10,万引き,流山9丁目,,1
2016/08/10,オートバイ盗,西初石6丁目,,1
2016/08/10,自転車盗,南流山4丁目,,1
2016/08/10,車上ねらい,大字三輪野山1丁目,,1
2016/08/10,車上ねらい,向小金1丁目,2件,1
2016/08/11,住居侵入,こうのす台,,1
2016/08/11,車上ねらい,駒木,,1
2016/08/11,部品ねらい,名都借,,1
2016/08/12,空き巣,江戸川台西4丁目,戸建,1
2016/08/12,自転車盗,江戸川台東1丁目,,1
2016/08/12,自転車盗,東初石6丁目,,1
2016/08/12,万引き,大字東深井,,1
2016/08/12,車上ねらい,松ヶ丘3丁目,,1
2016/08/12,自転車盗,南流山2丁目,,1
2016/08/12,車上ねらい,向小金1丁目,,1
2016/08/13,住居侵入,加3丁目,,1
2016/08/13,自転車盗,大字西平井,,1
2016/08/13,車上ねらい,美田,,1
2016/08/13,自転車盗,向小金3丁目,,1
2016/08/14,自転車盗,西初石6丁目,,1
2016/08/15,野荒らし,大字北,,1
2016/08/15,部品ねらい,大字東深井,,1
2016/08/15,自転車盗,宮園3丁目,,1
2016/08/16,部品ねらい,西初石4丁目,,1
2016/08/17,器物損壊,大字中野久木,,1
2016/08/17,部品ねらい,西初石4丁目,,1
2016/08/17,非侵入窃盗その他,松ケ丘2丁目,,1
2016/08/18,侵入盗その他,東初石2丁目,戸建,1
2016/08/18,自転車盗,南流山2丁目,,1
2016/08/19,侵入盗その他,大字木,戸建,1
2016/08/19,オートバイ盗,駒木,,1
2016/08/19,暴行,西初石3丁目,,1
2016/08/20,器物損壊,野々下1丁目,,1
2016/08/20,忍び込み,大字東深井,戸建,1
2016/08/20,器物損壊,大字東深井,,1
2016/08/20,車上ねらい,富士見台,,1
2016/08/21,非侵入窃盗その他,駒木,,1
2016/08/21,自転車盗,西初石2丁目,,1
2016/08/21,侵入盗その他,大字平方,戸建,1
2016/08/21,器物損壊,大字鰭ケ崎,,1
2016/08/22,自転車盗,江戸川台東4丁目,,1
2016/08/23,工事場ねらい,大字木,,1
2016/08/23,自動車盗,前ヶ崎,,1
2016/08/24,自転車盗,江戸川台西1丁目,,1
2016/08/24,万引き,西初石5丁目,,1
2016/08/24,自転車盗,南流山4丁目,,1
2016/08/25,オートバイ盗,江戸川台東1丁目,,1
2016/08/25,自転車盗,江戸川台東1丁目,,1
2016/08/25,自転車盗,大字鰭ケ崎,,1
2016/08/25,自転車盗,南流山4丁目,,1
2016/08/26,自転車盗,加1丁目,,1
2016/08/26,ひったくり,南流山3丁目,,1
2016/08/27,自転車盗,野々下6丁目,,1
2016/08/27,色情ねらい,南流山6丁目,,1
2016/08/28,自転車盗,加1丁目,,1
2016/08/28,自転車盗,大字鰭ケ崎,,1
2016/08/29,侵入盗その他,大字平方,,1
2016/08/29,自転車盗,大字鰭ケ崎,,1
2016/08/29,器物損壊,西初石6丁目,,1
2016/08/30,自動車盗,南流山7丁目,,1
2016/08/30,自転車盗,西初石2丁目,,1
2016/08/30,電話de詐欺,古間木,,1
2016/08/30,非侵入窃盗,松ヶ丘4丁目,3件,1
2016/08/31,自動車盗,南流山5丁目,,1
2016/08/31,空き巣,前ヶ崎,集合住宅,1
2016/08/31,無銭飲食,南流山4丁目,,1
2016/09/01,住居侵入,青田,,1
2016/09/01,自転車盗,流山4丁目,,1
2016/09/01,侵入盗その他,大字深井新田,戸建,1
2016/09/01,非侵入窃盗,古間木,,1
2016/09/02,工場荒し,市野谷,,1
2016/09/02,部品ねらい,駒木,,1
2016/09/02,万引き,大字東深井,,1
2016/09/02,車上ねらい,前平井,,1
2016/09/02,自転車盗,向小金3丁目,,1
2016/09/03,忍び込み,後平井,戸建,1
2016/09/03,空き巣,前ヶ崎,戸建,1
2016/09/03,器物損壊,松ケ丘5丁目,,1
2016/09/03,自転車盗,大字三輪野山,,1
2016/09/04,自転車盗,大字鰭ケ崎,,1
2016/09/04,ひったくり,南流山6丁目,,1
2016/09/05,空き巣,江戸川台東1丁目,戸建,1
2016/09/05,工事場ねらい,思井,,1
2016/09/05,自転車盗,富士見台2丁目,,1
2016/09/05,空き巣,前ヶ崎,集合住宅,1
2016/09/05,非侵入窃盗その他,南流山2丁目,,1
2016/09/06,自転車盗,西初石3丁目,,1
2016/09/06,万引き,西初石6丁目,,1
2016/09/06,万引き,大字東深井,,1
2016/09/06,空き巣,平和台4丁目,集合住宅,1
2016/09/06,部品ねらい,南流山1丁目,,1
2016/09/06,万引き,向小金2丁目,,1
2016/09/07,万引き,江戸川台東3丁目,,1
2016/09/07,器物損壊,大字谷,,1
2016/09/07,万引き,流山2丁目,,1
2016/09/07,車上ねらい,大字西深井,,1
2016/09/07,自転車盗,大字鰭ケ崎,,1
2016/09/07,部品ねらい,南流山5丁目,,1
2016/09/08,万引き,西初石6丁目,,1
2016/09/08,自転車盗,大字東深井,,1
2016/09/08,非侵入窃盗その他,大字鰭ケ崎,,1
2016/09/09,自転車盗,西初石4丁目,,1
2016/09/09,空き巣,西初石5丁目,集合住宅,1
2016/09/09,自転車盗,大字東深井,,1
2016/09/09,器物損壊,南流山4丁目,2件,1
2016/09/10,自転車盗,大字東深井,,1
2016/09/10,非侵入窃盗その他,前ヶ崎,,1
2016/09/10,自転車盗,大字三輪野山1丁目,,1
2016/09/11,自転車盗,西初石6丁目,,1
2016/09/11,自転車盗,大字東深井,,1
2016/09/12,自転車盗,南流山4丁目,,1
2016/09/12,自転車盗,南流山7丁目,,1
2016/09/12,自転車盗,西初石3丁目,,1
2016/09/13,部品ねらい,加4丁目,,1
2016/09/13,非侵入窃盗その他,大字南,,1
2016/09/13,器物損壊,加4丁目,,1
2016/09/14,オートバイ盗,美原4丁目,,1
2016/09/14,自転車盗,西初石3丁目,,1
2016/09/14,万引き,西初石6丁目,,1
2016/09/15,車上ねらい,大字流山,,1
2016/09/16,自動車盗,前平井,,1
2016/09/16,空き巣,思井,戸建,1
2016/09/16,侵入盗その他,宮園2丁目,戸建,1
2016/09/16,自転車盗,長崎1丁目,,1
2016/09/16,自転車盗,南流山4丁目,,1
2016/09/16,万引き,大字東深井,2件,1
2016/09/17,空き巣,宮園3丁目,戸建,1
2016/09/17,侵入盗その他,宮園2丁目,戸建,1
2016/09/17,侵入盗その他,加5丁目,戸建・未遂,1
2016/09/17,自転車盗,大字東深井,,1
2016/09/17,器物損壊,南流山6丁目,,1
2016/09/17,置引き,美原2丁目,,1
2016/09/17,万引き,流山9丁目,,1
2016/09/18,自転車盗,向小金1丁目,,1
2016/09/19,部品ねらい,南流山6丁目,,1
2016/09/19,自転車盗,南流山3丁目,,1
2016/09/21,自転車盗,西初石5丁目,,1
2016/09/21,詐欺,美原2丁目,,1
2016/09/22,車上ねらい,松ケ丘3丁目,2件,1
2016/09/23,自動車盗,鰭ヶ崎,,1
2016/09/23,自転車盗,向小金2丁目,,1
2016/09/23,自転車盗,江戸川台東2丁目,,1
2016/09/23,暴行,東初石2丁目,,1
2016/09/25,オートバイ盗,大字西深井,,1
2016/09/26,自転車盗,野々下6丁目,,1
2016/09/26,非侵入窃盗その他,前ヶ崎,,1
2016/09/26,傷害,向小金3丁目,,1
2016/09/26,建造物損壊,南流山1丁目,,1
2016/09/27,器物損壊,東初石4丁目,,1
2016/09/27,万引き,南流山3丁目,,1
2016/09/27,万引き,向小金1丁目,,1
2016/09/27,非侵入窃盗その他,大字小屋,,1
2016/09/28,万引き,加1丁目,,1
2016/09/28,万引き,西初石6丁目,,1
2016/09/29,自動車盗,南流山7丁目,,1
2016/09/29,非侵入窃盗その他,十太夫,,1
2016/09/29,非侵入窃盗その他,大字平方,,1
2016/09/29,工事場ねらい,大字南,,1
2016/09/29,住居侵入,大字鰭ケ崎,,1
2016/09/30,住居侵入,西初石6丁目,2件,1
2016/09/30,置引き,大字流山,,1
2016/09/30,万引き,野々下6丁目,,1
2016/09/30,器物損壊,野々下3丁目,,1
2016/09/30,器物損壊,野々下4丁目,,1
2016/09/30,器物損壊,大字西深井,,1
2016/10/01,自動車盗,南流山2丁目,,1
2016/10/01,忍び込み,青田,戸建,1
2016/10/01,自転車盗,西初石2丁目,,1
2016/10/02,自転車盗,東初石1丁目,,1
2016/10/02,万引き,流山9丁目,,1
2016/10/02,器物損壊,大字鰭ケ崎,,1
2016/10/02,器物損壊,南流山6丁目,,1
2016/10/02,器物損壊,市野谷,,1
2016/10/02,非侵入窃盗その他,南流山5丁目,,1
2016/10/03,車上ねらい,南流山6丁目,,1
2016/10/03,器物損壊,市野谷,,1
2016/10/03,万引き,江戸川台東3丁目,,1
2016/10/03,万引き,西初石5丁目,,1
2016/10/03,万引き,西初石6丁目,,1
2016/10/04,非侵入窃盗その他,南流山3丁目,,1
2016/10/04,器物損壊,名都借,,1
2016/10/05,自転車盗,南流山4丁目,,1
2016/10/06,部品ねらい,大字西深井,,1
2016/10/06,空き巣,向小金3丁目,集合住宅,1
2016/10/07,空き巣,平和台5丁目,集合住宅,1
2016/10/07,空き巣,江戸川台東1丁目,集合住宅・未遂,1
2016/10/07,自転車盗,江戸川台東3丁目,,1
2016/10/07,器物損壊,東初石2丁目,,1
2016/10/07,非侵入窃盗その他,南流山2丁目,,1
2016/10/08,自動販売機ねらい,大字西深井,,1
2016/10/08,自動車盗,南流山3丁目,,1
2016/10/08,器物損壊,東初石3丁目,,1
2016/10/08,横領,流山9丁目,,1
2016/10/08,万引き,西初石6丁目,,1
2016/10/10,忍び込み,野々下6丁目,集合住宅,1
2016/10/11,自転車盗,大字東深井,,1
2016/10/12,部品ねらい,加4丁目,,1
2016/10/12,空き巣,江戸川台東4丁目,戸建,1
2016/10/12,空き巣,大字中野久木,戸建,1
2016/10/12,空き巣,こうのす台,戸建・未遂,1
2016/10/12,自転車盗,大字木,,1
2016/10/12,置引き,大字西深井,,1
2016/10/12,置引き,東初石6丁目,,1
2016/10/12,器物損壊,松ヶ丘4丁目,,1
2016/10/12,住居侵入,こうのす台,,1
2016/10/13,車上ねらい,江戸川台東4丁目,,1
2016/10/13,車上ねらい,こうのす台,,1
2016/10/13,器物損壊,市野谷,,1
2016/10/13,器物損壊,松ヶ丘5丁目,,1
2016/10/13,住居侵入,こうのす台,,1
2016/10/14,非侵入窃盗その他,十太夫,,1
2016/10/15,車上ねらい,大字中野久木,,1
2016/10/15,自転車盗,南流山1丁目,,1
2016/10/16,空き巣,東初石3丁目,集合住宅,1
2016/10/16,自転車盗,西松ヶ丘1丁目,,1
2016/10/16,自転車盗,西初石1丁目,,1
2016/10/17,オートバイ盗,美原4丁目,,1
2016/10/17,侵入盗その他,前ヶ崎,,1
2016/10/17,万引き,西初石6丁目,2件,1
2016/10/18,車上ねらい,松ヶ丘3丁目,,1
2016/10/18,車上ねらい,向小金1丁目,,1
2016/10/18,忍込み,大字鰭ケ崎,戸建住宅,1
2016/10/18,自転車盗,東初石3丁目,,1
2016/10/18,自転車盗,東初石6丁目,,1
2016/10/18,自転車盗,大字東深井,,1
2016/10/18,自転車盗,南流山2丁目,,1
2016/10/18,自転車盗,市野谷,,1
2016/10/18,自転車盗,美原2丁目,,1
2016/10/18,非侵入窃盗その他,駒木,,1
2016/10/19,車上ねらい,南流山4丁目,,1
2016/10/19,車上ねらい,大字鰭ケ崎,,1
2016/10/19,車上ねらい,加1丁目,,1
2016/10/19,車上ねらい,加6丁目,2件（うち1件は未遂）,1
2016/10/19,自転車盗,青田,,1
2016/10/19,自転車盗,大字鰭ケ崎,,1
2016/10/20,居空き,大字西深井,戸建,1
2016/10/20,器物損壊,大字西平井,,1
2016/10/20,住居侵入,大字西深井,戸建,1
2016/10/20,自転車盗,流山9丁目,,1
2016/10/21,ひったくり,江戸川台東1丁目,,1
2016/10/21,車上ねらい,松ヶ丘3丁目,,1
2016/10/21,車上ねらい,前ヶ崎,,1
2016/10/21,自転車盗,駒木,,1
2016/10/21,自転車盗,西初石6丁目,,1
2016/10/21,傷害,加5丁目,,1
2016/10/21,万引き,西初石6丁目,,1
2016/10/22,自動販売機ねらい,向小金1丁目,,1
2016/10/22,侵入盗その他,江戸川台西1丁目,,1
2016/10/22,自転車盗,南流山2丁目,,1
2016/10/22,自転車盗,大字木,,1
2016/10/22,置引き,大字加,,1
2016/10/22,暴行,大字東深井,,1
2016/10/23,部品ねらい,西初石3丁目,,1
2016/10/23,空き巣,大字木,戸建住宅,1
2016/10/23,非侵入窃盗その他,駒木台,,1
2016/10/24,自動車盗,大字鰭ケ崎,,1
2016/10/24,自動車盗,思井,,1
2016/10/24,事務所荒し,市野谷,,1
2016/10/24,自転車盗,南流山1丁目,,1
2016/10/24,非侵入窃盗その他,駒木,,1
2016/10/25,自動車盗,加3丁目,,1
2016/10/25,自転車盗,前ヶ崎,,1
2016/10/25,自転車盗,流山1丁目,,1
2016/10/26,万引き,流山9丁目,,1
2016/10/26,工事場ねらい,大字西平井,,1
2016/10/26,器物損壊,美原2丁目,,1
2016/10/27,忍込み,市野谷,戸建住宅,1
2016/10/27,空き巣,南流山5丁目,集合住宅,1
2016/10/27,空き巣,野々下3丁目,戸建住宅,1
2016/10/27,自転車盗,西初石6丁目,,1
2016/10/27,自転車盗,加2丁目,,1
2016/10/27,万引き,西初石2丁目,,1
2016/10/27,工事場ねらい,大字西平井,2件,1
2016/10/27,非侵入窃盗その他,中,,1
2016/10/28,非侵入窃盗その他,駒木,,1
2016/10/28,万引き,西初石6丁目,,1
2016/10/28,自転車盗,大字東深井,,1
2016/10/29,車上ねらい,大字南,,1
2016/10/29,建造物侵入,南流山7丁目,,1
2016/10/29,自転車盗,向小金1丁目,,1
2016/10/29,自転車盗,西初石6丁目,,1
2016/10/30,忍込み,加2丁目,戸建住宅,1
2016/10/30,自転車盗,加1丁目,,1
2016/10/30,器物損壊,南流山4丁目,,1
2016/10/31,部品ねらい,美原3丁目,,1
2016/10/31,自転車盗,江戸川台西2丁目,,1
2016/10/31,万引き,西初石6丁目,,1
2016/10/31,工事場ねらい,西初石5丁目,,1
2016/11/01,強盗,平和台5丁目,,1
2016/11/01,車上ねらい,南流山4丁目,未遂,1
2016/11/01,自転車盗,南流山1丁目,,1
2016/11/01,万引き,大字東深井,,1
2016/11/01,万引き,大字鰭ケ崎,,1
2016/11/01,万引き,向小金1丁目,,1
2016/11/02,暴行,江戸川台東3丁目,,1
2016/11/03,部品ねらい,大字東深井,,1
2016/11/03,車上ねらい,西初石3丁目,,1
2016/11/03,自転車盗,南流山1丁目,,1
2016/11/04,空き巣,十太夫,集合住宅,1
2016/11/04,自転車盗,大字東深井,,1
2016/11/04,器物損壊,江戸川台東2丁目,,1
2016/11/05,自転車盗,大字東深井,,1
2016/11/05,自転車盗,大字鰭ケ崎,,1
2016/11/06,部品ねらい,駒木台,,1
2016/11/06,自転車盗,南流山1丁目,,1
2016/11/07,工事場ねらい,十太夫,,1
2016/11/07,工事場ねらい,西初石5丁目,,1
2016/11/07,傷害,南流山3丁目,,1
2016/11/08,車上ねらい,野々下3丁目,,1
2016/11/08,自転車盗,野々下6丁目,,1
2016/11/08,暴行,西初石6丁目,,1
2016/11/08,万引き,南流山2丁目,,1
2016/11/09,自販機ねらい,大字西深井,,1
2016/11/10,置引き,西初石5丁目,,1
2016/11/10,置引き,駒木,,1
2016/11/11,自転車盗,前ヶ崎,,1
2016/11/11,脅迫,向小金3丁目,,1
2016/11/12,部品ねらい,南流山7丁目,未遂,1
2016/11/12,自転車盗,大字東深井,,1
2016/11/12,自転車盗,江戸川台西2丁目,,1
2016/11/12,非侵入窃盗その他,西初石4丁目,,1
2016/11/12,非侵入窃盗その他,西初石6丁目,,1
2016/11/13,自転車盗,南流山3丁目,,1
2016/11/13,侵入盗その他,市野谷,,1
2016/11/13,傷害,南流山3丁目,,1
2016/11/14,車上ねらい,大字鰭ケ崎,,1
2016/11/14,空き巣,南流山8丁目,,1
2016/11/14,万引き,西初石6丁目,,1
2016/11/14,置引き,大字大字三輪野山,,1
2016/11/15,器物損壊,大字東深井,,1
2016/11/15,強制わいせつ,西初石2丁目,,1
2016/11/16,自動車盗,平和台3丁目,,1
2016/11/16,自販機ねらい,前ヶ崎,,1
2016/11/16,工事場ねらい,十太夫,,1
2016/11/17,車上ねらい,大字三輪野山1丁目,,1
2016/11/17,車上ねらい,大字三輪野山3丁目,未遂,1
2016/11/17,自転車盗,南流山7丁目,,1
2016/11/18,自転車盗,南流山3丁目,,1
2016/11/18,工事場ねらい,大字桐ケ谷,,1
2016/11/19,自転車盗,大字東深井,,1
2016/11/20,自販機ねらい,大字西平井,未遂,1
2016/11/20,事務所荒し,東初石6丁目,,1
2016/11/20,住居侵入,駒木,,1
2016/11/20,置引き,大字中野久木,,1
2016/11/21,電話de詐欺,駒木,孫騙り,1
2016/11/22,置引き,大字桐ケ谷,,1
2016/11/23,自転車盗,南流山1丁目,,1
2016/11/23,自転車盗,大字東深井,,1
2016/11/24,自動車盗,江戸川台東2丁目,,1
2016/11/24,車上ねらい,南流山1丁目,,1
2016/11/24,空き巣,南流山8丁目,戸建住宅,1
2016/11/24,傷害,西初石6丁目,,1
2016/11/24,自動車盗,江戸川台西2丁目,,1
2016/11/25,部品ねらい,江戸川台東1丁目,,1
2016/11/25,非侵入窃盗その他,東初石5丁目,,1
2016/11/25,非侵入窃盗その他,南流山2丁目,,1
2016/11/26,車上ねらい,南流山7丁目,,1
2016/11/26,自転車盗,向小金1丁目,,1
2016/11/26,万引き,十太夫,,1
2016/11/27,工事場ねらい,東初石6丁目,,1
2016/11/27,自転車盗,東初石1丁目,,1
2016/11/27,非侵入窃盗その他,こうのす台,,1
